timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716845475695,522,DELETE Owner,200,,User threads 1-1,text,true,,4943,339,1,1,http://localhost:8080/owners,235,0,20
1716845475695,238,DELETE Owner-0,302,,User threads 1-1,,true,,186,217,1,1,http://localhost:8080/owners/1/delete,235,0,20
1716845475935,282,DELETE Owner-1,200,,User threads 1-1,text,true,,4757,122,1,1,http://localhost:8080/owners,281,0,0
1716845476638,21,DELETE Owner,200,,User threads 1-2,text,true,,4934,339,1,1,http://localhost:8080/owners,11,0,1
1716845476638,11,DELETE Owner-0,302,,User threads 1-2,,true,,186,217,1,1,http://localhost:8080/owners/2/delete,11,0,1
1716845476649,10,DELETE Owner-1,200,,User threads 1-2,text,true,,4748,122,1,1,http://localhost:8080/owners,10,0,0
1716845477643,23,DELETE Owner,200,,User threads 1-3,text,true,,4925,339,1,1,http://localhost:8080/owners,12,0,1
1716845477643,12,DELETE Owner-0,302,,User threads 1-3,,true,,186,217,1,1,http://localhost:8080/owners/3/delete,12,0,1
1716845477655,11,DELETE Owner-1,200,,User threads 1-3,text,true,,4739,122,1,1,http://localhost:8080/owners,10,0,0
1716845478640,17,DELETE Owner,200,,User threads 1-4,text,true,,4932,339,1,1,http://localhost:8080/owners,9,0,1
1716845478640,9,DELETE Owner-0,302,,User threads 1-4,,true,,186,217,1,1,http://localhost:8080/owners/4/delete,9,0,1
1716845478649,8,DELETE Owner-1,200,,User threads 1-4,text,true,,4746,122,1,1,http://localhost:8080/owners,8,0,0
1716845479640,15,DELETE Owner,200,,User threads 1-5,text,true,,4315,339,1,1,http://localhost:8080/owners,9,0,1
1716845479640,9,DELETE Owner-0,302,,User threads 1-5,,true,,186,217,1,1,http://localhost:8080/owners/5/delete,9,0,1
1716845479649,6,DELETE Owner-1,200,,User threads 1-5,text,true,,4129,122,1,1,http://localhost:8080/owners,6,0,0
1716845480640,16,DELETE Owner,200,,User threads 1-6,text,true,,4153,339,1,1,http://localhost:8080/owners,9,0,1
1716845480640,9,DELETE Owner-0,302,,User threads 1-6,,true,,186,217,1,1,http://localhost:8080/owners/6/delete,9,0,1
1716845480649,7,DELETE Owner-1,200,,User threads 1-6,text,true,,3967,122,1,1,http://localhost:8080/owners,7,0,0
1716845481641,17,DELETE Owner,200,,User threads 1-7,text,true,,3994,339,1,1,http://localhost:8080/owners,10,0,1
1716845481641,10,DELETE Owner-0,302,,User threads 1-7,,true,,186,217,1,1,http://localhost:8080/owners/7/delete,10,0,1
1716845481651,7,DELETE Owner-1,200,,User threads 1-7,text,true,,3808,122,1,1,http://localhost:8080/owners,7,0,0
1716845482643,17,DELETE Owner,200,,User threads 1-8,text,true,,3831,339,1,1,http://localhost:8080/owners,11,0,1
1716845482643,11,DELETE Owner-0,302,,User threads 1-8,,true,,186,217,1,1,http://localhost:8080/owners/8/delete,11,0,1
1716845482654,6,DELETE Owner-1,200,,User threads 1-8,text,true,,3645,122,1,1,http://localhost:8080/owners,6,0,0
1716845483630,27,DELETE Owner,200,,User threads 1-9,text,true,,4483,464,1,1,http://localhost:8080/owners/10,10,0,1
1716845483630,10,DELETE Owner-0,302,,User threads 1-9,,true,,186,217,1,1,http://localhost:8080/owners/9/delete,10,0,1
1716845483640,4,DELETE Owner-1,302,,User threads 1-9,,true,,189,122,1,1,http://localhost:8080/owners,4,0,0
1716845483644,13,DELETE Owner-2,200,,User threads 1-9,text,true,,4108,125,1,1,http://localhost:8080/owners/10,13,0,0
1716845484628,27,DELETE Owner,200,,User threads 1-10,text,true,,4007,340,1,1,http://localhost:8080/owners,10,0,0
1716845484628,10,DELETE Owner-0,302,,User threads 1-10,,true,,186,218,1,1,http://localhost:8080/owners/10/delete,10,0,0
1716845484638,17,DELETE Owner-1,200,,User threads 1-10,text,true,,3821,122,1,1,http://localhost:8080/owners,17,0,0
